nombre;referencia;codigo_barras;invima;cum;codigo_producto_dian;existencias;impuesto;precioventa_con_impuesto;precio_venta_base;precio_venta_minimo;descuento_maximo_ps;precio_compra;precio_compraipm;total_impoconsumo;total_estampilla;icui;ibua;costo;stock_minino;es_ingrediente;manejo_bascula;vender_solo_existencia;realizar_pedido_solo_existencia;utilidad;mostrar_tienda;categoria;marca;codigo_cuenta;precio1;precio2;precio3;precio4;ubicacion;proveedor;nit_proveedor;url_imagen;nota;tipo_producto
AIRPODS PRO 2;;;;;;1544;0;33206;33206;0;0;28000;28000;0;0;0;0;28000;5;;;;1;15.67788954;TRUE;General;GENERICA;;45097.22222;0;0;0;;J.A.;44432;;;Estandar
AUDIFONOS AMBIE SIN PANTALLA;;;;;;997;0;24557;24557;0;0;22777.77778;22777.77778;0;0;0;0;22777.77778;5;;;;1;7.245275165;TRUE;ACCESORIOS;GENERICA;;32701.38889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
AUDIFONOS I 12;;;;;;998;0;11979;11979;0;0;11111.11111;11111.11111;0;0;0;0;11111.11111;5;;;;1;7.245086308;TRUE;ACCESORIOS;GENERICA;;20305.55556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
AUDIFONOS IPH;;;;;;976;0;7667;7667;0;0;7111.111111;7111.111111;0;0;0;0;7111.111111;5;;;;1;7.250409403;TRUE;ACCESORIOS;GENERICA;;16055.55556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
AUDIFONOS JBL TOUR PRO 5;;;;;;1000;0;66484;66484;0;0;61666.66667;61666.66667;0;0;0;0;61666.66667;5;;;;1;7.245853639;TRUE;ACCESORIOS;GENERICA;;74020.83333;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
AUDIFONOS TC;;;;;;986;0;7667;7667;0;0;7111.111111;7111.111111;0;0;0;0;7111.111111;5;;;;1;7.250409403;TRUE;ACCESORIOS;GENERICA;;16055.55556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
AURICULAR ENJOY;;;;;;1000;0;2635;2635;0;0;2444.444444;2444.444444;0;0;0;0;2444.444444;5;;;;1;7.231709888;TRUE;ACCESORIOS;GENERICA;;11097.22222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABEZA ADAPTAOR 25W IPH 24 PRO MAX;;;;;;987;0;10182;10182;0;0;9444.444444;9444.444444;0;0;0;0;9444.444444;5;;;;1;7.243719854;TRUE;ACCESORIOS;GENERICA;;18534.72222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABEZA CARGADOR DE SAMSUNG 25W;;;;;;2578;0;7786;7786;0;0;6000;6000;0;0;0;0;6000;5;;;;1;22.93860776;TRUE;ACCESORIOS;GENERICA;;16173.61111;0;0;0;;QUALITY TECH;986656;;;Estandar
CABEZA CARGADOR IPHONE 20W;;;;;;1882;0;9462;9462.365591;0;;5500;5500;0;0;0;0;5500;5;;;;1;41.875;TRUE;ACCESORIOS;GENERICA;;16763.88889;0;0;0;;JK;99982;;;Estandar
